run subrun event vtxid Enu_1e1p Eta PT_1e1p AlphaT_1e1p SphB_1e1p PzEnu_1e1p ChargeNearTrunk Q0_1e1p Q3_1e1p Thetas Phis PTRat_1e1p Proton_ThetaReco Proton_PhiReco MinShrFrac MaxShrFrac BjXB_1e1p BjYB_1e1p Proton_Edep Electron_Edep Lepton_ThetaReco Lepton_PhiReco OpenAng Xreco Yreco Zreco MPIDY_muon MPIDY_proton MPIDY_eminus shower_fraction Shower_Consistency EnuQE_lepton EnuQE_proton Proton_TrackLength Lepton_TrackLength EnuTrue BDTscore_1e1p ccnc interactionType nlepton nproton scedr POTweight GenieWeight LEEweight label newpi0flag oldpi0flag datarun filetag cutLevel nBDTs tvweight0 sigprob0 tvweight1 sigprob1 tvweight2 sigprob2 tvweight3 sigprob3 tvweight4 sigprob4 tvweight5 sigprob5 tvweight6 sigprob6 tvweight7 sigprob7 tvweight8 sigprob8 tvweight9 sigprob9 tvweight10 sigprob10 tvweight11 sigprob11 tvweight12 sigprob12 tvweight13 sigprob13 tvweight14 sigprob14 tvweight15 sigprob15 tvweight16 sigprob16 tvweight17 sigprob17 tvweight18 sigprob18 tvweight19 sigprob19 sigprobavg sigprobmedian sigprobmax sigprob bdtweight
18954 219 10968 0 304.5050409070117 0.37980157136917114 133.3858135947855 1.1590767240658038 35.37036899904557 -10.987781126401387 533.484375 123.46669271240242 388.78602343849866 2.519643783569336 2.6405632495880127 0.41372293914388764 0.628976583480835 1.708835482597351 0.0 0.8847736716270447 0.9940117516152428 0.37051853880498853 94.85909271240234 178.34164819460938 1.890667200088501 -0.9317277073860168 2.409985303878784 68.91333770751953 69.49222564697266 32.349998474121094 0.08324576914310455 0.9705693125724792 0.9049616456031799 1.1274527210067533 0.21978795481191668 279.7667335829251 379.18354651516484 7.1325483322143555 32.034400939941406 848.9189453125 0.9567740559577942 0 1003 1 6 1.5330945253372192 4.718886491725837e+22 1.0 0.0 nue_other False 0 3 intrinsics 2 20.0 1.0 0.981384 1.0 0.9949509 1.0 0.9927983 1.0 0.99135345 1.0 0.99359256 1.0 0.99309325 1.0 0.9922409 1.0 0.9920407 1.0 0.9922426 1.0 0.9887411 1.0 0.98786163 1.0 0.995564 1.0 0.99350667 1.0 0.99382305 1.0 0.9965172 1.0 0.9929826 1.0 0.9914254 1.0 0.9908058 1.0 0.9943242 1.0 0.99516946 0.992220887541771 0.992890477180481 0.9965171813964844 0.992220887541771 1
18954 138 6927 2 948.9398350446484 0.28280600905418396 174.67696704281076 0.9072520635500858 164.685567939076 -76.0428563066879 461.9694519042969 173.74302175292985 426.3497561475982 1.7061892747879028 2.865224599838257 0.1962215240851656 1.196093201637268 -0.9780521392822266 0.0 0.9763593673706055 0.8466147700454862 0.12997715017016379 145.1354217529297 772.5001132917188 0.5100961327552795 1.8871724605560303 1.6888071298599243 109.92749786376953 -37.741336822509766 192.0500030517578 0.019441748037934303 0.9780201315879822 0.7700185179710388 1.0117989941657806 0.3877976746950756 898.8482011051914 5286.269313034396 14.98773193359375 76.2071304321289 1089.8424072265625 0.9982695579528809 0 1001 1 1 0.2858346402645111 4.718886491725837e+22 1.1255124547635038 0.0 nue_ccqe False 0 3 intrinsics 2 20.0 2.0 0.9959447 0.0 0.99685067 2.0 0.995706 0.0 0.99683183 2.0 0.99660504 0.0 0.99414635 2.0 0.99578923 2.0 0.99613094 2.0 0.99689984 0.0 0.995027 2.0 0.99530977 2.0 0.99488455 0.0 0.99757487 2.0 0.9970149 2.0 0.9878947 2.0 0.99743253 0.0 0.9934244 0.0 0.9953263 2.0 0.99689 0.0 0.996801 0.9955418507258097 0.9960378110408783 0.9974325299263 0.9955418507258097 1
18953 356 17822 0 1198.2104782962888 0.3116053640842438 147.8934185717763 2.27019817846124 2314.7192767386437 -17.96294537008498 345.1697692871094 108.65864064941388 465.16439633075953 1.5013052225112915 3.4689583778381348 0.12433477695657283 1.0961971282958984 -0.3615376055240631 0.0 0.9977957606315613 0.9529454700578798 0.1155008418229266 80.05104064941406 1086.855137646875 0.4051080346107483 3.1074206829071045 1.482629656791687 132.47959899902344 -35.470054626464844 513.25 0.029889417812228203 0.9690348505973816 0.9798454642295837 0.9903426872714045 0.06654697666280929 1235.4934231537975 998.0121517676275 5.288902759552002 91.39388275146484 1017.4010009765625 0.9472991824150085 0 1001 1 1 0.41858822107315063 4.718886491725837e+22 1.0821806579565725 0.0 nue_ccqe False 0 3 intrinsics 2 20.0 0.0 0.996872 2.0 0.9981591 0.0 0.99445045 2.0 0.9982856 0.0 0.99647516 0.0 0.9982199 2.0 0.99609417 2.0 0.9966875 2.0 0.99745184 2.0 0.9961979 0.0 0.9955943 0.0 0.9975527 0.0 0.99653304 0.0 0.9975051 2.0 0.9971616 2.0 0.9980665 2.0 0.9962359 0.0 0.99702954 2.0 0.99829 2.0 0.99733186 0.9972692673856561 0.9973318576812744 0.9982900023460388 0.9972692673856561 1
18953 49 2495 0 624.4817900309374 0.19868341088294983 199.35032897782827 0.38852098515975775 63.797204662264676 -68.60359812436127 382.7074890136719 175.6732738281251 381.46724060624626 1.8879128694534302 2.988497734069824 0.3375711933600371 1.1368660926818848 2.030618667602539 0.0 0.8260869383811951 0.8062583185834853 0.1777522699509071 147.065673828125 446.1118162028125 0.7510467171669006 -0.9578792452812195 1.8803004026412964 82.72840118408203 -87.18324279785156 223.25 0.015235960483551025 0.913381814956665 0.7663772702217102 1.0315503218133844 0.31444321887782667 547.5588813012856 2467.008559554994 15.334177017211914 22.724851608276367 815.546630859375 0.9943935871124268 0 1001 1 1 1.0548490285873413 4.718886491725837e+22 1.1243516864300513 0.0 nue_ccqe False 0 3 intrinsics 2 20.0 1.0 0.9801987 1.0 0.9680366 1.0 0.9896303 1.0 0.9839659 1.0 0.98209286 1.0 0.9870825 1.0 0.9848061 1.0 0.97547114 1.0 0.98241615 1.0 0.98948765 1.0 0.9668747 1.0 0.9869059 1.0 0.97924554 1.0 0.99209046 1.0 0.98143446 1.0 0.9880862 1.0 0.98587066 1.0 0.9768828 1.0 0.98740155 1.0 0.9937477 0.9830863922834396 0.9843859970569611 0.9937477111816406 0.9830863922834396 1
18948 39 1972 0 1464.6774714723829 0.3362952172756195 135.60405247916069 2.736968481796058 1082.381151403297 161.43406696219336 406.3941650390625 120.40272023925786 506.28668287843277 0.936318039894104 2.9329466819763184 0.08310315017324986 0.6516525745391846 0.49746403098106384 0.0 0.9693251252174377 0.6644379962179234 0.10780111775409897 91.79512023925781 1341.578051233125 0.28466543555259705 -2.4354825019836426 0.9317235946655273 230.3114013671875 -14.13807201385498 538.0 0.009167777374386787 0.9946770668029785 0.9643286466598511 0.5316212012598147 0.14667416555158289 1457.2172847796357 381.4488061774391 6.7324090003967285 80.83302307128906 1252.33154296875 0.7083532214164734 0 1001 1 1 0.8322533369064331 4.718886491725837e+22 1.062373916867992 0.0 nue_ccqe False 0 3 intrinsics 2 20.0 2.0 0.97831476 0.0 0.99518883 0.0 0.9909128 0.0 0.99385166 2.0 0.9928104 0.0 0.98479027 2.0 0.9659268 2.0 0.986553 0.0 0.9922848 2.0 0.98180294 0.0 0.96693087 0.0 0.99482024 2.0 0.98463446 2.0 0.98460114 2.0 0.9930127 2.0 0.9821628 0.0 0.99654454 0.0 0.99404526 2.0 0.9923847 2.0 0.9688779 0.9828256043520841 0.9846011400222778 0.9930127263069153 0.9828256043520841 1
18935 323 16158 0 1396.0990782288868 0.1576746255159378 150.58804472233496 2.623802273829352 4239.402340904121 -157.86002979836417 391.7384033203125 121.29417684326177 549.4116282500742 1.806052327156067 3.320826768875122 0.12072518551367827 1.365691065788269 0.4644685387611389 0.0 0.7976318597793579 1.2166292905218146 0.12795774475287464 92.68657684326172 1272.108201385625 0.4403613209724426 -2.856358289718628 1.7991831302642822 220.60000610351562 -42.05184555053711 546.4500122070312 0.04093995690345764 0.9590937495231628 0.9734361171722412 0.9769105461722717 0.5342706742227087 1501.5882161498703 -2477.937920197777 6.847945213317871 92.32344055175781 1804.3345947265625 0.30014508962631226 0 1001 1 1 0.5353698134422302 4.718886491725837e+22 1.1282392277058073 0.0 nue_ccqe False 0 3 intrinsics 2 20.0 1.0 0.99365246 1.0 0.9963607 1.0 0.99427056 1.0 0.99517775 1.0 0.9958741 1.0 0.9955669 1.0 0.9935096 1.0 0.9943262 1.0 0.9953837 1.0 0.99411434 1.0 0.99235713 1.0 0.99678814 1.0 0.9925839 1.0 0.9953322 1.0 0.9953731 1.0 0.9963133 1.0 0.99355245 1.0 0.9891278 1.0 0.99657553 1.0 0.9954507 0.994584521651268 0.9952549636363983 0.9967881441116333 0.994584521651268 1
18933 105 5274 0 628.0874336863085 0.27895867824554443 161.7070460025904 1.7577935235036757 514.4918958377427 -41.12810036561177 300.16754150390625 93.36775472412103 343.65787132941176 1.7429180145263672 3.66090989112854 0.265604221925785 1.1262723207473755 2.9765191078186035 0.0 0.923652708530426 0.8607368617348949 0.14467221418298862 64.7601547241211 532.0229789621875 0.6166456937789917 -0.6843908429145813 1.6734148263931274 102.98650360107422 -59.0651741027832 567.25 0.010247020050883293 0.9638016819953918 0.9897923469543457 1.0533443141643215 0.5683058641063522 628.9631166342626 983.7078333664041 3.635160446166992 36.216224670410156 570.8081665039062 0.9951131939888 0 1001 1 1 0.7640346884727478 4.718886491725837e+22 1.3968903150735716 0.476307 nue_ccqe False 0 3 intrinsics 2 20.0 1.0 0.97960633 1.0 0.9832608 1.0 0.9779099 1.0 0.9882295 1.0 0.9844604 1.0 0.9574822 1.0 0.9826643 1.0 0.9893561 1.0 0.9820489 1.0 0.99028754 1.0 0.9717997 1.0 0.988528 1.0 0.9846538 1.0 0.99253255 1.0 0.9692597 1.0 0.98443365 1.0 0.9732026 1.0 0.98174757 1.0 0.9708763 1.0 0.9852314 0.9808785617351532 0.9829625487327576 0.9925325512886047 0.9808785617351532 1
18929 424 21225 0 1445.739010979873 0.4117044508457184 672.6559903083518 2.6420463794780127 5073.994310153933 -166.12141519410602 268.87469482421875 83.6654117370606 580.58435163083 1.8596646785736084 1.5338554382324219 0.46529842615289924 1.4202419519424438 -0.905663788318634 0.0 0.9824304580688477 2.482900793317297 0.18430288295054223 55.05781173706055 1359.3768992428124 0.4394226670265198 -2.439519166946411 1.4189422130584717 235.90530395507812 40.06697463989258 529.8499755859375 0.00999530777335167 0.9355055093765259 0.9910213351249695 0.7334024597477258 0.24738844504709132 1618.2598520892163 -1447.03363756972 2.7264244556427 143.30723571777344 1468.2093505859375 0.19467175006866455 0 1001 1 1 0.5907889604568481 4.718886491725837e+22 1.121926502986374 0.0 nue_ccqe False 0 3 intrinsics 2 20.0 1.0 0.9512455 1.0 0.9619104 1.0 0.9486451 1.0 0.9697808 1.0 0.96491563 1.0 0.96312577 1.0 0.96266955 1.0 0.94294906 1.0 0.96869534 1.0 0.92229056 1.0 0.94476104 1.0 0.97038984 1.0 0.97156054 1.0 0.9666362 1.0 0.9751474 1.0 0.98159295 1.0 0.9623965 1.0 0.90011007 1.0 0.982206 1.0 0.82498175 0.9518005013465881 0.9628976583480835 0.9822059869766235 0.9518005013465881 1
18929 354 17725 0 472.9363365401562 0.3162049651145935 97.32686445737005 2.5647343064193353 50.67624660352138 -11.354074473263324 435.99407958984375 151.01455190429698 535.9377272488008 1.9881036281585693 3.3622899055480957 0.206318305347533 0.5125147104263306 -2.835761308670044 0.0 0.9878048896789551 1.155283328678508 0.3499071944493867 122.40695190429688 319.2250846358594 1.4755887985229492 0.5265286564826965 1.9751887321472168 124.3916015625 -88.27799224853516 351.25 0.010031776502728462 0.9875498414039612 0.9574726819992065 1.1399578535608603 0.024528967793827045 510.77139949713626 395.7427585578021 11.145261764526367 41.97685623168945 435.2308654785156 0.999187707901001 0 1001 1 1 0.6526387333869934 4.718886491725837e+22 1.3988923071720614 1.07428 nue_ccqe False 0 3 intrinsics 2 20.0 2.0 0.9962619 0.0 0.9960659 0.0 0.99430287 0.0 0.9952676 2.0 0.99174106 2.0 0.99250996 2.0 0.99245703 0.0 0.9969856 2.0 0.9965965 0.0 0.9948763 0.0 0.99528176 2.0 0.99460286 0.0 0.9969121 0.0 0.9951617 0.0 0.99618983 2.0 0.99660033 0.0 0.993537 0.0 0.9943526 0.0 0.9935481 2.0 0.9926924 0.9941827580332756 0.9936476349830627 0.996600329875946 0.9941827580332756 1
18929 200 10007 0 1255.7031154778515 0.04534858837723732 87.8965380970519 2.608815760199586 779.8091357826319 -25.63638261216306 447.7574462890625 250.297556665039 740.9779871763897 1.536651372909546 3.057206630706787 0.07127498763379628 0.8904687762260437 2.545093297958374 0.0 0.9952718615531921 1.129973178360084 0.2258343010857176 221.68995666503906 1002.7088588128125 0.6461825966835022 -0.5121132731437683 1.5349847078323364 66.58779907226562 -58.37235641479492 421.25 0.012093297205865383 0.9878876209259033 0.9924806356430054 1.0188774375385405 0.32252115853418023 1326.727193345541 1124.0746042749383 30.92302131652832 48.6873664855957 1159.26611328125 0.9152126312255859 0 1001 1 1 0.543104350566864 4.718886491725837e+22 1.153474033071567 0.0 nue_ccqe False 0 3 intrinsics 2 20.0 0.0 0.99639785 0.0 0.9965688 2.0 0.9955409 2.0 0.99680173 2.0 0.9928387 2.0 0.99481404 0.0 0.99566805 2.0 0.99645656 0.0 0.99670875 2.0 0.994532 2.0 0.99366695 2.0 0.9955918 2.0 0.99648845 2.0 0.9959401 2.0 0.99715245 0.0 0.997419 2.0 0.9929635 2.0 0.9939447 2.0 0.9968907 0.0 0.9962747 0.9952587570462909 0.9955663681030273 0.9971524477005005 0.9952587570462909 1
